"","0","0.2","0.4","0.6","0.8","1","0s",".2s",".4s",".6s",".8s","1s","p"
"V1",0.405465108108164,0.405465108108165,0.405465108108164,0.405465108108165,0.405465108108165,0.405465108108164,0.023497717945654,0.0565232526980355,0.132035375756841,0.177599444898785,0.222697680295162,0.253793743133757,0
"V2",0.397842707287599,0.398532594492131,0.399444825609653,0.40070434302263,0.402546783334563,0.405465108108165,0.0168293745902186,0.067872013488077,0.133976239451604,0.183230531583801,0.224090743826821,0.259601742622062,0.05
"V3",0.389963353466077,0.391359211763174,0.393215030606942,0.395789138473885,0.399558241134274,0.405465108108164,0.0111869383928288,0.0676484566153557,0.137284462350589,0.183161291748912,0.227463290854466,0.268252108762428,0.1
"V4",0.381807153030337,0.383924808993415,0.386757372581279,0.390706390233123,0.396494947448956,0.405465108108164,0.00949650831709763,0.0721106869920983,0.136132478138922,0.187302623724597,0.231905221836756,0.26791997511342,0.15
"V5",0.373351679589705,0.376206394421396,0.380050743521743,0.385441068565066,0.393351864335837,0.405465108108166,0.00357494414609653,0.0688867717976806,0.142088969618803,0.186739257512119,0.232087876946049,0.271463143835782,0.2
"V6",0.364571510075628,0.368177549842875,0.373070665757042,0.37997579923207,0.390123368109447,0.405465108108164,-0.0051316271191859,0.072074406649566,0.136552299074351,0.19239226550567,0.231151135549419,0.271868927792955,0.25
"V7",0.355437646965483,0.359807681073129,0.365788493757418,0.374290319659232,0.386803149564221,0.405465108108165,-0.00991807044348589,0.069222846498793,0.139964586451492,0.190454266915859,0.236514201975484,0.273269385795076,0.3
"V8",0.345916790740869,0.351061044845912,0.358170355885897,0.36836076158758,0.383384091238983,0.405465108108164,-0.0139909329966129,0.0704252790531923,0.135225165636511,0.18945270775423,0.237627597913665,0.274276479081384,0.35
"V9",0.33597041256917,0.341895465097641,0.350175724564075,0.362158687398332,0.379858114919327,0.405465108108164,-0.0262355996900133,0.0659303151076346,0.137967846519342,0.188662518010531,0.231564708100108,0.276077778508163,0.4
"V10",0.325553556269848,0.332260608527754,0.341755442005292,0.355649768178347,0.376215990054593,0.405465108108163,-0.030413998603329,0.0646028898290796,0.1338641692394,0.187591321807486,0.234339030025885,0.276748804908549,0.45
"V11",0.314613266927287,0.322095619681856,0.332848924853705,0.348791926040539,0.372447090105182,0.405465108108164,-0.0385186724734361,0.0616734469690379,0.134136617631167,0.188605987251785,0.233120045950253,0.274165508949225,0.5
"V12",0.303086494303926,0.311325799297754,0.323380087929643,0.341532648921671,0.368539078408943,0.405465108108165,-0.0435729184239864,0.0621910356843368,0.130641910977584,0.189482915841551,0.235702961133113,0.275616797244208,0.55
"V13",0.290897240676644,0.299857807012808,0.313251188244723,0.333804977417174,0.364477496930002,0.405465108108164,-0.0532318789422887,0.057993929750357,0.12860577813306,0.186572251501388,0.230562908087021,0.276809323710282,0.6
"V14",0.277952593382891,0.287572500641782,0.302333125582403,0.325521260773591,0.36024521847237,0.405465108108165,-0.0639243756185571,0.0564438406792594,0.126925881431699,0.186253937724157,0.231884695784852,0.273808074795102,0.65
"V15",0.264137061497926,0.274313815364067,0.290449337284613,0.316562949657485,0.355821702514652,0.405465108108164,-0.072252109126833,0.0490270064128373,0.122479517457435,0.182793288466308,0.228310313454987,0.273329765955971,0.7
"V16",0.249304242684551,0.259870631810739,0.277347212812723,0.306762836639902,0.351181961114001,0.405465108108163,-0.0804910207961304,0.0445904576376548,0.120594998769035,0.173993980813426,0.225814727789647,0.270225185914862,0.75
"V17",0.233264109987877,0.243945346353337,0.2626426910711,0.29587153708849,0.346295083609362,0.405465108108164,-0.0921591620405904,0.0395764924198282,0.115845927629213,0.173358765965333,0.225631296483606,0.270520731496685,0.8
"V18",0.215762745961245,0.226094873473831,0.245698913438548,0.283486775747602,0.341122065681925,0.405465108108164,-0.103607551495692,0.0328305458078648,0.112071503224783,0.176382670937082,0.221875874337162,0.26834073810141,0.85
"V19",0.196448228050691,0.205607203366925,0.225306634792935,0.268877699464938,0.335612494303984,0.405465108108165,-0.11776300359541,0.0259959421000482,0.105777084630466,0.166604176405756,0.216063494490336,0.264905259463201,0.9
"V20",0.174809060847019,0.181198791277785,0.198521647216138,0.250411911633679,0.32969925227425,0.405465108108164,-0.133229888697993,0.0186666470333658,0.0993972209696288,0.158236126944946,0.214092159032965,0.262353528342071,0.95
"V21",0.150052296225169,0.150052296225169,0.150052296225169,0.222089634579432,0.32328957058641,0.405465108108164,-0.151893156163197,0.0056799915812543,0.0856213989219387,0.144412891637167,0.209730613381672,0.256756761486578,1
