"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"V1",0,-0.793142563307337,-0.792675830678014,-0.792250060351217,-0.792950965972989,-0.791978541534801,-0.791242072583116,-0.791679972631192,-0.79267535824601,-0.792107924314902,-0.791552951416541,-0.791758947478967
"V2",0.05,-0.792145595969137,-0.793086440783811,-0.792119037734482,-0.791645946188519,-0.793043782064428,-0.793155606916051,-0.792189679226747,-0.792383317242335,-0.792921803062184,-0.792451644074537,-0.792899985232515
"V3",0.1,-0.791907269675325,-0.792364292738267,-0.791507223785751,-0.792545228894335,-0.791738632049985,-0.792189142742297,-0.792194470216069,-0.79203027864614,-0.792638098700441,-0.791959811097417,-0.792665354649433
"V4",0.15,-0.791004862264428,-0.792135103963244,-0.792261278095937,-0.792566685765535,-0.791990834722277,-0.791664511384386,-0.791917205709426,-0.792201556096502,-0.791782459566218,-0.792365247653983,-0.791858694491874
"V5",0.2,-0.791672468734262,-0.7912402552364,-0.791296902730618,-0.790798203299299,-0.791336775512908,-0.791578656211465,-0.792020795784529,-0.792275347283588,-0.79148967210524,-0.791256920477497,-0.791308018541094
"V6",0.25,-0.790633703983076,-0.7904293403956,-0.791046658876126,-0.791038383853368,-0.791235418153988,-0.791145157826209,-0.790926154862229,-0.792161153436695,-0.790980853836937,-0.790808408692055,-0.791173182974692
"V7",0.3,-0.790793369473906,-0.790626810362976,-0.789914032151537,-0.790180981937979,-0.790755231354931,-0.790905228991761,-0.789970713578316,-0.79111247980179,-0.789844664677373,-0.789416179804938,-0.790005923010211
"V8",0.35,-0.789470097734604,-0.78940405091371,-0.78972896094072,-0.789719791892502,-0.79008626559984,-0.789038880910609,-0.78986559791127,-0.790480339633494,-0.789778814883593,-0.790718964134782,-0.78947240959979
"V9",0.4,-0.789154059768223,-0.789065467935995,-0.788403970902217,-0.788674611694753,-0.788231631947461,-0.789156836786412,-0.788331327755162,-0.788851857701206,-0.788919339137144,-0.788724005193783,-0.78888275295206
"V10",0.45,-0.787477253903541,-0.787368114705039,-0.787926996177245,-0.787186718364061,-0.787480597960633,-0.787793044596261,-0.787485108416507,-0.787121283855191,-0.787834742360293,-0.788276670447107,-0.788269417910929
"V11",0.5,-0.786353254787674,-0.786781358934223,-0.787053979355961,-0.786548495087213,-0.786373742877201,-0.786858197394214,-0.787424998411334,-0.786283413588627,-0.786308924626357,-0.786333836232811,-0.78668452932464
"V12",0.55,-0.785740486514935,-0.784595238233631,-0.785671858782661,-0.78566120653426,-0.785559110264915,-0.784946730053491,-0.784393617455435,-0.786005645468703,-0.785863935018224,-0.785752952793875,-0.785189648800428
"V13",0.6,-0.783944241916787,-0.782927636196544,-0.783987271978304,-0.783953289960826,-0.784509776301706,-0.783869904426732,-0.784236333819046,-0.784172416794303,-0.784099540255419,-0.784333881813543,-0.784050728356654
"V14",0.65,-0.783362243831994,-0.783432939051654,-0.782779548399699,-0.782989078018237,-0.782731672307832,-0.782741449386483,-0.782755769407063,-0.782953076495629,-0.782418327971335,-0.782372287817104,-0.782808151539561
"V15",0.7,-0.780690153688673,-0.780968730364878,-0.78078851100713,-0.781282255022713,-0.780730011409153,-0.781010834779581,-0.780588470704018,-0.780870504743962,-0.781439498068484,-0.780340051241539,-0.780503608651237
"V16",0.75,-0.780117328007806,-0.779103375723754,-0.780079057418811,-0.779528550570694,-0.778858390711487,-0.778626371543978,-0.779379696051305,-0.778971367670496,-0.778419681957931,-0.779859854852107,-0.779435112614555
"V17",0.8,-0.777002256909711,-0.778093707434647,-0.777581280497674,-0.778025399553466,-0.778494701614319,-0.777068254839359,-0.777198379125697,-0.776792066456468,-0.778046647470096,-0.778357459942616,-0.77777769535834
"V18",0.85,-0.776367351402467,-0.775693266519272,-0.775951262633602,-0.776142505216546,-0.775594463220523,-0.776240425595546,-0.776288266804697,-0.775619215713834,-0.777225508482981,-0.775980545843794,-0.776178264599763
"V19",0.9,-0.773838630516534,-0.774035881510417,-0.773693137473511,-0.77410788324831,-0.773352818048352,-0.774631584905291,-0.773850455553776,-0.774353873481364,-0.773987334209448,-0.773436811652991,-0.773653218225345
"V20",0.95,-0.772187318692564,-0.77031767031714,-0.771772296322488,-0.771977677811059,-0.771407391753317,-0.771498299998887,-0.772043253020015,-0.771924957735516,-0.771766197466851,-0.771959707514765,-0.772034665498943
"V21",1,-0.769914144361402,-0.769302282598598,-0.770359429085575,-0.768882169422063,-0.770120242447364,-0.770271354075135,-0.770381450938303,-0.770290935961893,-0.769345456068954,-0.769857768693317,-0.769563596349001
