"","levels","maxs","p","ldiff"
"0.1",0.1,0.0464463207188188,0,0
"0.2",0.2,0.0714167983467106,0,0
"0.3",0.3,0.0850731408300027,0,0
"0.4",0.4,0.093437662078309,0.05,0.000287279711053148
"0.5",0.5,0.0981633023773137,0.1,0.00215888502658867
"0.6",0.6,0.101046458861238,0.2,0.00595852988842038
"0.7",0.7,0.102114358102679,0.15,0.0110029842497026
"0.8",0.8,0.101726495365356,0.25,0.016948292819897
"0.9",0.9,0.100610177195287,0.25,0.0250838207764419
"1",1,0.0982057432180407,0.25,0.0339734451585954
"1.1",1.1,0.0943678079888594,0.25,0.0437869540007408
"1.2",1.2,0.0896434799132026,0.3,0.0549861666809262
"1.3",1.3,0.0849066467332481,0.3,0.068545252742532
"1.4",1.4,0.0780293491347708,0.35,0.0829029233975759
"1.5",1.5,0.0716364116759786,0.3,0.0976411037328062
"1.6",1.6,0.063922904157265,0.3,0.115280421949495
"1.7",1.7,0.0555309385595372,0.35,0.132306915977972
"1.8",1.8,0.0463768797373019,0.3,0.150661097342665
"1.9",1.9,0.0385600831442965,0.35,0.16726218170685
