"","levels","maxs","p","ldiff"
"0.2",0.390243902439024,1.08373545423008,0,0
"0.3",0.447513812154696,0.71916253355226,0,0
"0.4",0.5,0.490726305094283,0.1,0.000167317295209246
"0.6",0.547511312217195,0.245808521488854,0.05,0.00406877311096859
"0.8",0.590163934426229,0.139791807581424,0.25,0.028216188727187
"1",0.692307692307692,0.101016048704068,0.25,0.0491626454832767
"1.2",0.764150943396226,0.0989257856535127,0.3,0.0589203526167683
"1.5",0.8,0.121635835670417,0.3,0.0822970565755362
"1.8",0.828767123287671,0.157053538879886,0.35,0.101592395958862
"2.2",0.9,0.211492767822095,0.35,0.120623718773308
"3",0.961538461538461,0.319210920045545,0.35,0.136810825957612
"5",0.99009900990099,0.532837838798409,0.35,0.169827922892396
