"","levels","maxs","p","ldiff"
"0.1",0.1,0.0463749620269764,0,0
"0.2",0.2,0.0714452730061076,0,0
"0.3",0.3,0.0922626987292527,0,0
"0.4",0.4,0.122373047130703,0,0
"0.5",0.5,0.149040707664319,0,0
"0.6",0.6,0.177030344601273,0.05,0.00154730538719777
"0.7",0.7,0.20527449400403,0,0
"0.8",0.8,0.227636155670567,0,0
"0.9",0.9,0.246963038685224,0,0
"1",1,0.265951043722752,0.05,5.80449168618991e-06
"1.1",1.1,0.286748646913474,0,0
"1.2",1.2,0.304791487046622,0,0
"1.3",1.3,0.320624818023481,0,0
"1.4",1.4,0.334596006648215,0,0
"1.5",1.5,0.346505262403347,0,0
"1.6",1.6,0.357300908048078,0,0
"1.7",1.7,0.367337382672465,0,0
"1.8",1.8,0.374398713095807,0,0
"1.9",1.9,0.382386439795687,0,0
