"","levels","stage","maxlamO","p","ldiff"
"j 0.2",0.2,"j",-0.306426551489569,0,0
"j 0.4",0.4,"j",-0.0827269006786904,0,0
"j 0.6",0.6,"j",0.0593767750727638,0,0
"j 0.8",0.8,"j",0.169157885148958,0,0
"j 1",1,"j",0.257917730918968,0,0
"j 1.2",1.2,"j",0.330339092894588,0.05,0.000983277891657641
"j 1.4",1.4,"j",0.395429014908549,0,0
"j 1.6",1.6,"j",0.450500495324628,0,0
"j 1.8",1.8,"j",0.50587462269905,0,0
"j 2",2,"j",0.547163284220043,0.05,0.00284680111345148
"a 0.2",0.2,"a",0.0938327361453531,0,0
"a 0.4",0.4,"a",0.140596179878335,0.05,0.00214548824817062
"a 0.6",0.6,"a",0.177125357187946,0.05,0.000128751556588563
"a 0.8",0.8,"a",0.221076385733786,0,0
"a 1",1,"a",0.254554401080244,0,0
"a 1.2",1.2,"a",0.299405412562421,0,0
"a 1.4",1.4,"a",0.337950239107265,0,0
"a 1.6",1.6,"a",0.377447706499596,0,0
"a 1.8",1.8,"a",0.416682279020706,0.05,0.00205917102375525
"a 2",2,"a",0.455892876148943,0,0
