"","levels","maxs","p","ldiff"
"0.1",0.1,0.0464850201471815,0,0
"0.2",0.2,0.0712037790450942,0,0
"0.3",0.3,0.0857664962809641,0,0
"0.4",0.4,0.0931758022898599,0.05,0
"0.5",0.5,0.0967028576641517,0.1,0
"0.6",0.6,0.0944165608470547,0.2,0
"0.7",0.7,0.0997338171498861,0.15,0.00871706591135475
"0.8",0.8,0.110814285128636,0.25,0.0256500519729604
"0.9",0.9,0.120186886885613,0.25,0.0448599413623126
"1",1,0.127944671348659,0.25,0.0636867476327395
"1.1",1.1,0.135907710733154,0.25,0.0857464741687294
"1.2",1.2,0.143325812305726,0.3,0.109094641138225
"1.3",1.3,0.149005978725203,0.3,0.132766822957572
"1.4",1.4,0.154196014385228,0.35,0.157802143763983
"1.5",1.5,0.157946403724551,0.3,0.184306375381881
"1.6",1.6,0.161381820613714,0.3,0.210202901015684
"1.7",1.7,0.164852599371391,0.35,0.23986505326232
"1.8",1.8,0.168344485744605,0.3,0.271687966382213
"1.9",1.9,0.171646342721003,0.35,0.299516954200891
