"","levels","maxs","p","ldiff"
"0.8",0.390243902439024,0.154524939383677,0.3,0.0177557642885196
"0.9",0.447513812154696,0.156739440574794,0.35,0.0109559951611154
"1",0.5,0.165648622364299,0.3,0.00822115341319463
"1.1",0.547511312217195,0.179136147688018,0.35,0.00812753389638002
"1.2",0.590163934426229,0.196661158126442,0.25,0.00932065231936335
"1.5",0.692307692307692,0.252910859194859,0.25,0.00561218545702036
"1.8",0.764150943396226,0.31100559566966,0.3,0.0027609758550779
"2",0.8,0.349071982182608,0.2,0.0024709723172826
"2.2",0.828767123287671,0.385306768257335,0.2,0.00347073390612473
"3",0.9,0.510748629131302,0.15,0.000950237690633515
"5",0.961538461538461,0.739862242719847,0.25,0.000535117290792364
"10",0.99009900990099,1.07372480801707,0.05,0.000707569108971073
