"","levels","maxs","p","ldiff"
"0.1",0.1,0.0464418751278404,0,0
"0.2",0.2,0.0720961702816435,0.05,0.000608894938367271
"0.3",0.3,0.0923694549537225,0.15,0.0064532042394968
"0.4",0.4,0.110083256972819,0.25,0.0169407924676729
"0.5",0.5,0.126233863952787,0.25,0.021162860649659
"0.6",0.6,0.140005276995361,0.3,0.0235950616164001
"0.7",0.7,0.152580741016327,0.3,0.0231113038271586
"0.8",0.8,0.164275998752911,0.25,0.0195511425911841
"0.9",0.9,0.175183270875493,0.35,0.0179464238997417
"1",1,0.185189753486725,0.3,0.0179750261731302
"1.1",1.1,0.193322999921973,0.35,0.0180370117194482
"1.2",1.2,0.201561562752636,0.35,0.0185323080313662
"1.3",1.3,0.209527979547549,0.3,0.0143048960945119
"1.4",1.4,0.216850933046101,0.4,0.00810477159627507
"1.5",1.5,0.223730181117381,0.2,0.00451948448140674
"1.6",1.6,0.231336031446227,0.3,0.00291452115972302
"1.7",1.7,0.238661905736417,0.05,0.00224018779429183
"1.8",1.8,0.24540305597803,0,0
"1.9",1.9,0.252778338867995,0,0
