"","levels","stage","maxsopp","p","ldiff"
"j 0.2",0.2,"j",-0.338144707406988,0.25,0.0364035415951902
"j 0.4",0.4,"j",-0.144295017997399,0.35,0.0277499912954784
"j 0.6",0.6,"j",-0.0151133348837918,0.25,0.0163352478602855
"j 0.8",0.8,"j",0.0838383103475852,0.25,0.0119587615411211
"j 1",1,"j",0.16621747125571,0.3,0.00867512344689284
"j 1.2",1.2,"j",0.236912692352253,0.35,0.0106512176665468
"j 1.4",1.4,"j",0.296753049371767,0.35,0.012277689912379
"j 1.6",1.6,"j",0.350559004468017,0.25,0.0133932276176985
"j 1.8",1.8,"j",0.394475583811164,0.35,0.0101730688365745
"j 2",2,"j",0.440237300880849,0.25,0.0137263704066035
"a 0.2",0.2,"a",-0.0365853147770236,0.05,0.00213015690414461
"a 0.4",0.4,"a",0.0151288199738103,0.3,0.00318903908554494
"a 0.6",0.6,"a",0.0678808981769378,0.5,0.0119674882577156
"a 0.8",0.8,"a",0.117200094891656,0.3,0.0103212336883979
"a 1",1,"a",0.168652999613362,0.25,0.0119632947102244
"a 1.2",1.2,"a",0.21733600121062,0.25,0.0133265850332724
"a 1.4",1.4,"a",0.270370565232855,0.15,0.0212634020333892
"a 1.6",1.6,"a",0.3170845799531,0.3,0.0255449900485599
"a 1.8",1.8,"a",0.365056873334342,0.35,0.0297954338525719
"a 2",2,"a",0.412155249444803,0.3,0.0295521756249447
