"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"V1",0,0.0649580413712284,0.064100813562698,0.0650619239370639,0.0651961704963079,0.0643739582481578,0.064545165422249,0.0657366349120209,0.0639611870858163,0.0644499114208757,0.064495921368538,0.0646821601247363
"V2",0.05,0.0805442614439623,0.077849016698262,0.0755098988016298,0.0726701930210596,0.070807629184138,0.067860227188226,0.0665873649026566,0.0641416145176489,0.0611477399966699,0.0597764268582342,0.0574671772312068
"V3",0.1,0.0898418533985411,0.0855959034748383,0.081029151905034,0.0767987897866891,0.073614265870634,0.0702723749064566,0.0653854861797629,0.0602344132720838,0.0584418586248449,0.0535920599884093,0.0492104429198419
"V4",0.15,0.0947550408637779,0.0887167705700069,0.0839889281510978,0.0788018555252337,0.0738841909416591,0.0682945366980521,0.0629326783021829,0.0576757097597767,0.052363838663136,0.0476520649566853,0.0423852161023947
"V5",0.2,0.0977473774591623,0.0911338008181451,0.0844699385918459,0.078134575899266,0.0716170595548661,0.0661527962927963,0.0594034019896357,0.0528967552660496,0.0475207091814401,0.0412672335714448,0.0338761583565353
"V6",0.25,0.0987690751872739,0.0911306936725594,0.0843835428357666,0.0763948327749189,0.0696707443736108,0.0623642249984158,0.0552289107540802,0.0476835498494898,0.0412962407572417,0.0332970792205172,0.0260665962306058
"V7",0.3,0.0983096845414114,0.0903285992378983,0.0825396908717249,0.074377725956323,0.0659293755010587,0.0586731499198005,0.0502610671782876,0.0427356780674802,0.0340857297957705,0.0258104075679871,0.018620812743449
"V8",0.35,0.0954349236643164,0.086997371741176,0.0790656389118164,0.0700513776834475,0.061169068069797,0.0529270620773385,0.0449094119422987,0.0356926074729431,0.0268312753123983,0.0179275231439118,0.00986424608696647
"V9",0.4,0.0929170760324372,0.0835347231965814,0.0740692202059363,0.0658128504976612,0.056498301208116,0.0469946732332673,0.0376742277564408,0.0278339179721536,0.01916191304551,0.00958950979560579,0.00102649236345053
"V10",0.45,0.0885076923794023,0.0790286776286804,0.0691768222438538,0.0586946943293029,0.049391420941318,0.0393537787113672,0.0298045554800159,0.0202864082869894,0.0103489226604456,0.00134121464070659,-0.00739020726974769
"V11",0.5,0.0821321166939751,0.0722316812509622,0.0625898123359403,0.0513422671907697,0.0421558809905766,0.0325299785362819,0.0232420179278922,0.011940388535318,0.00257331576086587,-0.00659728244583168,-0.0165564518506638
"V12",0.55,0.0746759415824765,0.0637630718324509,0.05487431073183,0.0439343762069806,0.0343130554663226,0.0240784530261495,0.0147426444119467,0.00388481867379776,-0.00584655399562145,-0.0169381096401035,-0.0261554014266162
"V13",0.6,0.0658426726183406,0.0552192326699829,0.0463239136561637,0.0352449691803005,0.0255171715953932,0.0148913651847829,0.00491828386551977,-0.00511271095888969,-0.0153043936876435,-0.0258286481764855,-0.0359938510781249
"V14",0.65,0.0550518580977808,0.04546983358567,0.0348984925969256,0.0244894376301068,0.0141117228721564,0.00448535090659897,-0.00542046653640503,-0.0153378545917006,-0.0256663150941214,-0.03592346204207,-0.0458269861418036
"V15",0.7,0.0431192416045423,0.0333615164418278,0.0231604142411963,0.0137892485986987,0.00415645480805989,-0.00687289740621942,-0.0159820972844388,-0.0257943646955562,-0.0359471652931846,-0.0454439779360654,-0.0561297822363126
"V16",0.75,0.0283126558591259,0.0186548154221439,0.00888010035887532,-3.64969309800013e-05,-0.00895038943530176,-0.019167637156018,-0.0283782237279732,-0.0376159636673348,-0.0475444060673476,-0.0570891467398763,-0.0665232827410641
"V17",0.8,0.0104141518530207,0.00235841539306083,-0.00684494481861607,-0.0158161879958743,-0.0240280913663114,-0.0336312398545335,-0.0419448528608573,-0.0503419168293172,-0.0593915672916471,-0.0684224999946803,-0.0774319708735298
"V18",0.85,-0.0104898797257861,-0.0176685412390888,-0.0264797833429926,-0.0332000800818612,-0.0409895317827873,-0.0489483855347922,-0.0571927973840069,-0.0651572735714519,-0.0721663409428152,-0.0805238242052681,-0.0886234600554745
"V19",0.9,-0.0358478924417041,-0.0422255268119982,-0.0491963597251583,-0.055694162532824,-0.0613756294006422,-0.068158913086195,-0.074102231265889,-0.081002139437201,-0.0873171006243822,-0.0936766815991587,-0.099988596541909
"V20",0.95,-0.0703826208789598,-0.0747345317654799,-0.0789110957445529,-0.0827817557682034,-0.0869471791639047,-0.0918913497513997,-0.0951798182276328,-0.0991118674249431,-0.103094233215848,-0.107764713608235,-0.112035860220301
"V21",1,-0.123369043142109,-0.124717508073957,-0.124064821525078,-0.124544740107932,-0.12388465612139,-0.124157008077495,-0.124103489119948,-0.124139129543203,-0.124208724738172,-0.123978532620328,-0.123986422610801
