"","levels","maxs","p","ldiff"
"0.8",0.390243902439024,0.226169055639308,0,0
"0.9",0.447513812154696,0.238997611205161,0,0
"1",0.5,0.254634379299614,0.05,8.71816847525242e-06
"1.1",0.547511312217195,0.278920565390391,0,0
"1.2",0.590163934426229,0.302426235575637,0,0
"1.5",0.692307692307692,0.371858984736751,0,0
"1.8",0.764150943396226,0.434015652880162,0,0
"2",0.8,0.474462267189153,0,0
"2.2",0.828767123287671,0.511450281728621,0,0
"3",0.9,0.639657084220513,0,0
"5",0.961538461538461,0.869910488608857,0,0
"10",0.99009900990099,1.20314580348789,0.05,0.000642317689673488
