"","levels","stage","maxlamO","p","ldiff"
"V1",0.2,"f",-0.30490095466861,0,0
"V1.1",0.4,"f",-0.0834565739929755,0.05,0
"V1.2",0.6,"f",0.0602132725417884,0.1,0
"V1.3",0.8,"f",0.167937333908425,0.15,0
"V1.4",1,"f",0.25396637987027,0.2,0
"V1.5",1.2,"f",0.330376962092113,0.25,0.00110298769220379
"V1.6",1.4,"f",0.397316900780956,0.3,0
"V1.7",1.6,"f",0.453478015273751,0.35,0
"V1.8",1.8,"f",0.504693038697443,0.4,0
"V1.9",2,"f",0.546055319227225,0.45,0
"j 0.2",0.2,"j",-0.306426551489569,0,0
"j 0.4",0.4,"j",-0.0827269006786904,0,0
"j 0.6",0.6,"j",0.0593767750727638,0,0
"j 0.8",0.8,"j",0.169157885148958,0,0
"j 1",1,"j",0.257917730918968,0,0
"j 1.2",1.2,"j",0.330339092894588,0.05,0.000983277891657641
"j 1.4",1.4,"j",0.395429014908549,0,0
"j 1.6",1.6,"j",0.450500495324628,0,0
"j 1.8",1.8,"j",0.50587462269905,0,0
"j 2",2,"j",0.547163284220043,0.05,0.00284680111345148
"a 0.2",0.2,"a",0.0938327361453531,0,0
"a 0.4",0.4,"a",0.140596179878335,0.05,0.00214548824817062
"a 0.6",0.6,"a",0.177125357187946,0.05,0.000128751556588563
"a 0.8",0.8,"a",0.221076385733786,0,0
"a 1",1,"a",0.254554401080244,0,0
"a 1.2",1.2,"a",0.299405412562421,0,0
"a 1.4",1.4,"a",0.337950239107265,0,0
"a 1.6",1.6,"a",0.377447706499596,0,0
"a 1.8",1.8,"a",0.416682279020706,0.05,0.00205917102375525
"a 2",2,"a",0.455892876148943,0,0
