"","levels","maxs","p","ldiff"
"0.8",0.390243902439024,0.118955109478149,0.2,0.0662949387256865
"0.9",0.447513812154696,0.117105675379662,0.25,0.08203788943537
"1",0.5,0.120976223107395,0.2,0.0967858651908984
"1.1",0.547511312217195,0.130146319473253,0.3,0.110686135049101
"1.2",0.590163934426229,0.142980515216587,0.25,0.126154059625139
"1.5",0.692307692307692,0.193294527726726,0.25,0.166158070314473
"1.8",0.764150943396226,0.246084436401511,0.3,0.194068689246546
"2",0.8,0.280790640140797,0.35,0.211091999707111
"2.2",0.828767123287671,0.313357480972146,0.3,0.223218950240913
"3",0.9,0.434287563747584,0.35,0.259846186368775
"5",0.961538461538461,0.660672444062027,0.4,0.29737869817972
"10",0.99009900990099,0.988543246512928,0.35,0.317674658007212
