"","levels","maxsads","p","ldiff"
"0.8",0.390243902439024,0.120671697938926,0,0.068803725806983
"0.9",0.447513812154696,0.117284320709733,0,0.0837878841683799
"1",0.5,0.120353918372467,0.1,0.0957587036522457
"1.1",0.547511312217195,0.131260402553178,0.05,0.111907231548661
"1.2",0.590163934426229,0.143249491488402,0.25,0.124045801546463
"1.5",0.692307692307692,0.192168863565656,0.25,0.164038325541019
"1.8",0.764150943396226,0.245762308499891,0.3,0.19859638158442
"2",0.8,0.282490014691497,0.3,0.211966530425909
"2.2",0.828767123287671,0.315531230746945,0.35,0.227891869744964
"3",0.9,0.436587487754196,0.35,0.259247887182274
"5",0.961538461538461,0.660068375321881,0.35,0.29489299933797
"10",0.99009900990099,0.991084148743498,0.35,0.319250835175155
