"","levels","stage","maxsads","p","ldiff"
"1",0.2,"j",-0.365979521281805,0.05,0.0384258697755055
"2",0.4,"j",-0.178258013871366,0.2,0.064068653791634
"3",0.6,"j",-0.0525095798531377,0.3,0.0775270962932625
"4",0.8,"j",0.0433428505266388,0.2,0.0858593219971164
"5",1,"j",0.12266752751574,0.2,0.0962345485511408
"6",1.2,"j",0.18659604364314,0.2,0.104011688894206
"7",1.4,"j",0.245440720875078,0.3,0.114238238902765
"8",1.6,"j",0.29563874913511,0.25,0.120805786056575
"9",1.8,"j",0.343959349039693,0.3,0.13005063737655
"10",2,"j",0.385723080250761,0.2,0.133988941739479
"11",0.2,"a",-0.110361294072842,0.35,0.258629369588684
"12",0.4,"a",-0.0512043725571073,0.2,0.197164888602625
"13",0.6,"a",0.00512035051796541,0.3,0.153070058256343
"14",0.8,"a",0.0617655059046201,0.25,0.119074673810947
"15",1,"a",0.121268838668584,0.3,0.0931225320552584
"16",1.2,"a",0.177175391382373,0.2,0.0801135517816239
"17",1.4,"a",0.231920431575089,0.25,0.067923447619961
"18",1.6,"a",0.284184459776013,0.3,0.0576276015022001
"19",1.8,"a",0.333638673636863,0.25,0.0483581633353523
"20",2,"a",0.380753982172068,0.1,0.0434824188516754
"V1",0.2,"f",-0.366966281017935,0,0.0375192304898913
"V1.1",0.4,"f",-0.177976463150767,0.05,0.0596711264893365
"V1.2",0.6,"f",-0.0533870531403435,0.1,0.0747369774006268
"V1.3",0.8,"f",0.0437282695998003,0.15,0.0885496978303639
"V1.4",1,"f",0.120463790604046,0.2,0.0961095690693612
"V1.5",1.2,"f",0.188742896431387,0.25,0.10522980156454
"V1.6",1.4,"f",0.244084568329256,0.3,0.116999212789105
"V1.7",1.6,"f",0.295504071777081,0.35,0.12043900668127
"V1.8",1.8,"f",0.339807735344142,0.4,0.127675859942343
"V1.9",2,"f",0.385868396314727,0.45,0.136226944180363
