"","0","0.2","0.4","0.6","0.8","1","p"
"V1",0.0538984407698702,0.0546813978981755,0.053392127725917,0.0529883963587238,0.0539265372877238,0.0538586891477295,0
"V2",0.0392822170059998,0.0603822941632685,0.0752516675555589,0.0860260844037395,0.0962280490732479,0.105578185357459,0.05
"V3",0.0255088305001341,0.0606555919234201,0.082746112600866,0.100651154786984,0.116021490479126,0.129279935611694,0.1
"V4",0.00862894173979272,0.0569504125558795,0.0861253889154336,0.107651429249586,0.126934308817748,0.144352922853784,0.15
"V5",-0.0068092376262973,0.0525602277087089,0.0863458678623017,0.112238727055915,0.135567091875776,0.155476762169972,0.2
"V6",-0.022936509559312,0.0460110075916213,0.0842009536480988,0.115845241052723,0.141035309330662,0.164877062374366,0.25
"V7",-0.0392043767403725,0.0379704368134329,0.081795455401155,0.115950378365135,0.145024428030332,0.170095924558082,0.3
"V8",-0.056324259197624,0.0283146659968073,0.0777900853039163,0.115377327857163,0.146918945355861,0.174313067463018,0.35
"V9",-0.0753667019873585,0.0188014648524112,0.0713977163261027,0.112672873576835,0.146880195180928,0.177692988899634,0.4
"V10",-0.0951692800402936,0.00772043970639252,0.0651701895827374,0.108947154255013,0.146478719109615,0.178982283679701,0.45
"V11",-0.117585701215175,-0.00464083274006868,0.0569360489303227,0.105415695833038,0.14541459487671,0.179262471042607,0.5
"V12",-0.137002009564571,-0.0181981417584798,0.0485300836659193,0.0988307661019674,0.141825945309766,0.178912438047743,0.55
"V13",-0.160339973015617,-0.0313295354421086,0.0387887148079967,0.0921587058628999,0.138122121657106,0.178326273732133,0.6
"V14",-0.185608701055432,-0.0485450604171732,0.0271433863616106,0.0852428505526998,0.13271611828138,0.17465951943526,0.65
"V15",-0.213959219055563,-0.0667777951568894,0.0144330623628294,0.0751281311287787,0.125867656234028,0.17031877969559,0.7
"V16",-0.244422219059167,-0.0869627015705721,-0.000971609924517365,0.0641304545344811,0.117132999101662,0.164304806603589,0.75
"V17",-0.280421626177303,-0.110683045221086,-0.0177397147853121,0.0495119594273298,0.105887724217107,0.15658769547761,0.8
"V18",-0.323481267344259,-0.137413918045839,-0.04040653102841,0.0324420919729903,0.0947606792128889,0.14416048028403,0.85
"V19",-0.377467483551833,-0.171033326525574,-0.0667787684520895,0.0105227662563037,0.0748477097473655,0.130498231835741,0.9
"V20",-0.447035848051501,-0.215067592455501,-0.101453931090025,-0.0195569394242917,0.0485521162198264,0.105847313094526,0.95
"V21",-0.546102412934644,-0.2805293481273,-0.16051210586129,-0.0753685378761216,-0.00694826006281712,0.0530952226744048,1
