"","0","0.2","0.4","0.6","0.8","1","p"
"V1",0.0648938766826539,0.0649247648232585,0.0657181302746236,0.0639016582269853,0.0651894518595118,0.0644924813030665,0
"V2",0.0504460530425734,0.06292468631828,0.0739001734841784,0.0848140368542111,0.0939446200585519,0.103823536227238,0.05
"V3",0.0348072726206708,0.0590799792688004,0.0793489841871609,0.0970879878895506,0.112721359206989,0.127682610555907,0.1
"V4",0.0181399406380117,0.0536625035694638,0.0826546156044517,0.10554406496822,0.12575521114418,0.144438916967957,0.15
"V5",0.000768538190900828,0.0481929199330556,0.082072991701289,0.11163577032864,0.135328315924292,0.156681100441202,0.2
"V6",-0.0167530478282272,0.0409698482839867,0.0815765964145837,0.113920735531029,0.142853491984999,0.166810047128117,0.25
"V7",-0.036065062170176,0.0319440522790788,0.078661756661395,0.115309882261871,0.146466802817528,0.173951049434399,0.3
"V8",-0.0568007268907972,0.0226636053806103,0.0752609846930302,0.115168456349767,0.149870780213464,0.179711284747261,0.35
"V9",-0.0777467748998572,0.0119413659521773,0.0688775125787017,0.114170141931655,0.151314669176222,0.18340473253021,0.4
"V10",-0.099612857834673,0.000554486257377958,0.0626991670241967,0.110923431339123,0.151730626430046,0.185716130348994,0.45
"V11",-0.123318082804335,-0.0141382878755359,0.0545104282986952,0.106393149278674,0.149285810262999,0.186257491371887,0.5
"V12",-0.150231836029233,-0.0279032433606659,0.0456913161279439,0.101259854012434,0.146700504342216,0.18509488867195,0.55
"V13",-0.179364866990984,-0.0443193659412773,0.0345500012258955,0.0941088047861548,0.14148169141002,0.183307486672321,0.6
"V14",-0.210106915941963,-0.0629872134662439,0.0220060036532359,0.0851479906565602,0.136484838414986,0.17921999931433,0.65
"V15",-0.244883992949881,-0.0830302070677246,0.00765571974994795,0.0744603829913323,0.127991319731646,0.174337907044695,0.7
"V16",-0.284655199093149,-0.106800459675296,-0.0101157082662298,0.0614311067619379,0.11886334797035,0.167175539498506,0.75
"V17",-0.330447495350142,-0.133655171017921,-0.0287722878467433,0.0461452483476953,0.106884672910981,0.157052753522122,0.8
"V18",-0.383671709168262,-0.164767908371844,-0.0531581543439312,0.0268508694507389,0.0910950855141941,0.144566668462176,0.85
"V19",-0.450754861601761,-0.203643556194309,-0.0822188298809479,0.00381025137334764,0.0712896116337725,0.126237207977834,0.9
"V20",-0.540477336847753,-0.254046263582041,-0.120245183404561,-0.0273371944552262,0.0453328952405408,0.103613001764648,0.95
"V21",-0.693147180559947,-0.329980608670302,-0.179187940998742,-0.0769437028290241,0.000689997680508613,0.0642286464413166,1
